role,source_file,optimized_file,size_bytes,size_kb,alt,final_url,status,notes
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-season-summer-mountains.webp,,252472,246.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-season-summer-mountains.webp,final_url_ready,mime=image/webp
hero,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-season-winter-manzherok.webp,,290916,284.1,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-season-winter-manzherok.webp,final_url_ready,mime=image/webp
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-suite.png,,5653093,5520.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-suite.png,final_url_ready_size_warning,mime=image/png
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/karluu-suite.webp,,88916,86.8,,https://daniilterekh-prog.github.io/barnes-assets/karluu/karluu-suite.webp,final_url_ready,mime=image/webp
logo,/Users/ritaterekh/Documents/barnes-assets/karluu/logo-barnes-international.svg,,890,0.9,,https://daniilterekh-prog.github.io/barnes-assets/karluu/logo-barnes-international.svg,final_url_ready,mime=image/svg+xml
logo,/Users/ritaterekh/Documents/barnes-assets/karluu/max-logo.svg,,1473,1.4,,https://daniilterekh-prog.github.io/barnes-assets/karluu/max-logo.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_694.svg,,193537,189.0,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_694.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_697.svg,,219598,214.5,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_697.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_699.svg,,218689,213.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_699.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_701.svg,,217654,212.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_701.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_704.svg,,290346,283.5,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_704.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_708.svg,,242148,236.5,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_708.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_710.svg,,243310,237.6,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_710.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_713.svg,,285144,278.5,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_713.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_714.svg,,255018,249.0,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_714.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_717.svg,,220003,214.8,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_717.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_719.svg,,220115,215.0,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_719.svg,final_url_ready,mime=image/svg+xml
source_only,/Users/ritaterekh/Documents/barnes-assets/karluu/plans/property_721.svg,,220131,215.0,,https://daniilterekh-prog.github.io/barnes-assets/karluu/plans/property_721.svg,final_url_ready,mime=image/svg+xml
