source_file,output_file,source_ext,original_width,original_height,output_width,output_height,original_kb,webp_kb,savings_percent,quality,lossless,status,notes
/Users/ritaterekh/Documents/рэдиент/img/project/plan-deluxe.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/plan-deluxe-660c4d2f.webp,.png,1182,1180,1182,1180,1119.9,45.3,96.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/plan-family.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/plan-family-a4b8971e.webp,.png,1781,1308,1781,1308,1297.0,73.3,94.3,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/plan-standard.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/plan-standard-7bff0107.webp,.png,2578,1269,1800,886,1600.4,43.9,97.3,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/season-autumn-fishing.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/season-autumn-fishing-01477688.webp,.png,1254,1254,1254,1254,2300.2,171.9,92.5,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/season-spring-mountains.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/season-spring-mountains-77eb9bff.webp,.png,1254,1254,1254,1254,2684.8,269.6,90.0,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/season-summer-route.webp,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/season-summer-route-b9c90d21.webp,.webp,1320,990,1320,990,211.1,231.6,-9.7,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/season-winter-manzherok.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/season-winter-manzherok-bc0e9e71.webp,.png,1508,1043,1508,1043,2929.2,313.6,89.3,82,false,converted,over_300kb_check_role
/Users/ritaterekh/Documents/рэдиент/img/project/territory-12_19_40.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/territory-12_19_40-a4c2a59b.webp,.png,1536,1024,1536,1024,3027.9,307.7,89.8,82,false,converted,over_300kb_check_role
/Users/ritaterekh/Documents/рэдиент/img/project/territory-12_19_58.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/territory-12_19_58-3388cb1a.webp,.png,1536,1024,1536,1024,2704.8,201.5,92.6,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/territory-12_20_07.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/territory-12_20_07-84514ce1.webp,.png,1536,1024,1536,1024,3055.7,291.7,90.5,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/territory-12_20_13.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/territory-12_20_13-abb709ce.webp,.png,1536,1024,1536,1024,2648.4,201.3,92.4,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/territory-12_20_20.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/territory-12_20_20-23f94557.webp,.png,1536,1024,1536,1024,2461.3,228.5,90.7,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/territory-12_20_26.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/territory-12_20_26-9eba6fb5.webp,.png,1536,1024,1536,1024,2897.5,277.3,90.4,82,false,converted,
/Users/ritaterekh/Documents/рэдиент/img/project/two-buildings-presentation.png,/Users/ritaterekh/Documents/рэдиент/assets/optimized/redient-altai/two-buildings-presentation-5e103a53.webp,.png,1240,1550,1240,1550,1569.2,149.6,90.5,82,false,converted,
